vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,"2018-12-31T23:21:09,000","2018-12-31T23:47:00,000",6,4.92,1,N,79,189,1,20,0.5,0.5,10,0,0.3,31.3
2,"2018-12-31T23:20:46,000","2018-12-31T23:46:12,000",6,5.27,1,N,234,238,2,22,0.5,0.5,0,0,0.3,23.3
2,"2018-12-31T23:19:45,000","2018-12-31T23:31:33,000",5,2.12,1,N,264,264,2,10,0.5,0.5,0,0,0.3,11.3
2,"2018-12-31T23:19:33,000","2019-01-01T00:13:17,000",5,17.31,2,N,132,48,1,52,0,0.5,5,5.76,0.3,63.56
2,"2018-12-31T23:19:25,000","2018-12-31T23:32:02,000",5,6.36,1,N,132,63,2,19,0.5,0.5,0,0,0.3,20.3
2,"2018-12-31T23:19:19,000","2018-12-31T23:42:29,000",5,5.00,1,N,100,75,1,19,0.5,0.5,1,0,0.3,21.3
2,"2018-12-31T23:17:13,000","2018-12-31T23:37:06,000",5,7.10,1,N,166,220,2,22,0.5,0.5,0,0,0.3,23.3
2,"2018-12-31T23:16:55,000","2018-12-31T23:32:28,000",5,2.75,1,N,236,186,2,13,0.5,0.5,0,0,0.3,14.3
2,"2018-12-31T23:15:51,000","2018-12-31T23:28:34,000",6,1.76,1,N,237,164,2,10,0.5,0.5,0,0,0.3,11.3
2,"2018-12-31T23:15:44,000","2018-12-31T23:32:17,000",5,2.10,1,N,164,43,2,12,0.5,0.5,0,0,0.3,13.3
2,"2018-12-31T23:14:46,000","2018-12-31T23:41:30,000",6,4.65,1,N,65,89,2,20,0.5,0.5,0,0,0.3,21.3
2,"2018-12-31T23:13:46,000","2018-12-31T23:36:42,000",5,6.27,1,N,238,79,2,22,0.5,0.5,0,0,0.3,23.3
2,"2018-12-31T23:12:13,000","2018-12-31T23:27:50,000",5,2.50,1,N,113,232,2,12,0.5,0.5,0,0,0.3,13.3
2,"2018-12-31T23:11:51,000","2018-12-31T23:36:06,000",6,2.98,1,N,100,238,2,15,0.5,0.5,0,0,0.3,16.3
2,"2018-12-31T23:11:48,000","2018-12-31T23:53:30,000",5,13.10,1,N,45,47,2,41,0.5,0.5,0,0,0.3,42.3
2,"2018-12-31T23:11:01,000","2018-12-31T23:30:15,000",5,3.34,1,N,239,164,2,15,0.5,0.5,0,0,0.3,16.3
2,"2018-12-31T23:10:55,000","2018-12-31T23:40:46,000",6,13.64,1,N,141,14,2,38,0.5,0.5,0,0,0.3,39.3
2,"2018-12-31T23:10:31,000","2018-12-31T23:35:14,000",5,3.84,1,N,107,137,2,18,0.5,0.5,0,0,0.3,19.3
2,"2018-12-31T23:10:15,000","2018-12-31T23:33:59,000",5,5.81,1,N,48,87,2,21,0.5,0.5,0,0,0.3,22.3
2,"2018-12-31T23:09:47,000","2018-12-31T23:32:56,000",5,5.84,1,N,48,179,2,20,0.5,0.5,0,0,0.3,21.3
2,"2018-12-31T23:08:29,000","2018-12-31T23:31:21,000",6,2.29,1,N,238,141,2,16,0.5,0.5,0,0,0.3,17.3
2,"2018-12-31T23:07:44,000","2018-12-31T23:25:50,000",5,6.48,1,N,75,250,2,21,0.5,0.5,0,0,0.3,22.3
2,"2018-12-31T23:06:55,000","2018-12-31T23:39:02,000",6,18.69,2,N,132,4,1,52,0,0.5,2,5.76,0.3,60.56
2,"2018-12-31T23:06:52,000","2018-12-31T23:21:56,000",5,8.46,1,N,138,213,2,24,0.5,0.5,0,5.76,0.3,31.06
2,"2018-12-31T23:06:52,000","2018-12-31T23:22:55,000",6,2.83,1,N,239,229,2,13,0.5,0.5,0,0,0.3,14.3
2,"2018-12-31T23:06:36,000","2018-12-31T23:35:43,000",5,11.53,1,N,162,228,1,34,0.5,0.5,0,0,0.3,35.3
2,"2018-12-31T23:06:07,000","2018-12-31T23:23:44,000",5,4.33,1,N,237,231,1,16,0.5,0.5,0,0,0.3,17.3
2,"2018-12-31T23:05:55,000","2018-12-31T23:41:32,000",6,8.44,1,N,161,198,2,30,0.5,0.5,0,0,0.3,31.3
2,"2018-12-31T23:05:24,000","2018-12-31T23:18:05,000",5,2.41,1,N,161,239,1,11,0.5,0.5,0,0,0.3,12.3
2,"2018-12-31T23:04:21,000","2018-12-31T23:42:27,000",6,4.82,1,N,82,82,2,24,0.5,0.5,0,0,0.3,25.3
2,"2018-12-31T23:04:19,000","2018-12-31T23:22:19,000",5,4.50,1,N,113,263,2,16,0.5,0.5,0,0,0.3,17.3
2,"2018-12-31T23:03:48,000","2018-12-31T23:16:08,000",5,2.55,1,N,142,170,2,11,0.5,0.5,0,0,0.3,12.3
2,"2018-12-31T23:02:37,000","2018-12-31T23:12:24,000",6,2.96,1,N,127,244,2,11,0.5,0.5,0,0,0.3,12.3
2,"2018-12-31T23:01:56,000","2018-12-31T23:13:29,000",5,5.69,1,N,138,168,2,17,0.5,0.5,0,5.76,0.3,24.06
2,"2018-12-31T23:01:11,000","2018-12-31T23:13:09,000",5,1.99,1,N,236,229,1,10,0.5,0.5,1,0,0.3,12.3
2,"2018-12-31T22:58:50,000","2018-12-31T23:17:35,000",5,4.24,1,N,90,238,1,16,0.5,0.5,0,0,0.3,17.3
2,"2018-12-31T22:56:58,000","2018-12-31T23:38:56,000",5,22.23,2,N,132,142,1,52,0,0.5,6,5.76,0.3,64.56
2,"2018-12-31T22:54:57,000","2018-12-31T23:34:28,000",5,17.51,2,N,132,237,2,52,0,0.5,0,0,0.3,52.8
2,"2018-12-31T22:54:56,000","2018-12-31T23:10:35,000",5,1.79,1,N,48,249,1,11,0.5,0.5,1,0,0.3,13.3
2,"2018-12-31T22:49:04,000","2018-12-31T23:00:40,000",6,2.29,1,N,143,236,2,10,0.5,0.5,0,0,0.3,11.3
2,"2018-12-31T22:48:46,000","2018-12-31T23:25:26,000",5,20.22,1,N,132,33,2,55,0.5,0.5,0,0,0.3,56.3
2,"2018-12-31T22:48:44,000","2018-12-31T22:58:48,000",5,3.62,1,N,141,260,2,12,0.5,0.5,0,0,0.3,13.3
2,"2018-12-31T22:46:32,000","2018-12-31T23:23:56,000",5,21.22,2,N,132,142,1,52,0,0.5,5,5.76,0.3,63.56
2,"2018-12-31T22:45:45,000","2018-12-31T23:03:35,000",6,4.33,1,N,107,238,2,16,0.5,0.5,0,0,0.3,17.3
